CI_Cat,CI_Subcat,Impact,Urgency,Category,No_of_Reassignments,Handle_Time_hrs,No_of_Related_Interactions,High_Priority
application,Server Based Application,5,5,request for information,0,1233833333.0,1,1
application,Desktop Application,4,4,incident,0,2288944444.0,1,1
application,Server Based Application,5,5,request for information,3,2576944444.0,2,1
application,Server Based Application,5,5,request for information,9,3551388889.0,1,1
application,Server Based Application,5,5,request for information,6,402425.0,2,1
application,Server Based Application,5,5,request for information,9,33725.0,1,1
subapplication,Server Based Application,5,5,request for information,1,209444444.0,1,1
subapplication,Server Based Application,5,5,request for information,1,3880277778.0,2,1
application,SAP,5,5,request for information,3,4545833333.0,1,1
application,Server Based Application,4,4,incident,0,79722222.0,1,1
application,Server Based Application,5,5,request for information,3,1917222222.0,1,1
application,Server Based Application,5,5,request for information,0,1246972222.0,1,1
application,Server Based Application,5,5,request for information,0,1306277778.0,1,1
application,Web Based Application,4,4,incident,16,8885125.0,1,1
application,Server Based Application,5,5,request for information,3,18475.0,1,1
application,Server Based Application,5,5,request for information,0,4039444444.0,1,1
subapplication,Server Based Application,2,2,incident,2,19525.0,1,0
application,Server Based Application,4,4,incident,2,719722222.0,1,1
application,Web Based Application,4,4,incident,0,135.0,1,1
application,Desktop Application,3,3,incident,8,3989166667.0,2,1
computer,Windows Server,4,5,request for information,0,3703888889.0,1,1
application,SAP,5,5,request for information,0,1362972222.0,1,1
application,Server Based Application,5,5,request for information,0,1367.0,1,1
application,Server Based Application,5,5,request for information,2,3966111111.0,3,1
application,Web Based Application,4,4,incident,2,1072947778.0,1,1
application,Desktop Application,5,5,incident,0,139.0,1,1
application,Server Based Application,4,4,incident,2,15555556.0,1,1
application,Server Based Application,5,5,request for information,0,1377611111.0,1,1
application,Server Based Application,5,5,request for information,0,113333333.0,1,1
application,Server Based Application,5,5,request for information,0,1375833333.0,1,1
application,Server Based Application,4,4,incident,0,2860277778.0,1,1
application,Server Based Application,5,5,request for information,0,1180833333.0,2,1
application,Server Based Application,4,4,incident,0,1416388889.0,1,1
officeelectronics,Scanner,3,3,incident,0,9588611111.0,1,1
application,Web Based Application,5,5,request for information,2,5184166667.0,1,1
application,Web Based Application,5,5,incident,0,1241694444.0,1,1
subapplication,Web Based Application,4,4,incident,0,4453888889.0,1,1
application,Server Based Application,5,5,incident,2,30225.0,1,1
subapplication,Web Based Application,4,4,incident,3,1841866667.0,1,1
application,Server Based Application,4,4,incident,0,5725.0,1,1
application,Web Based Application,4,4,incident,2,16425.0,1,1
software,System Software,3,3,incident,0,538055556.0,1,1
application,Server Based Application,4,4,incident,1,1281.0,1,1
storage,Controller,3,3,incident,0,4025.0,1,1
application,Desktop Application,NS,3,incident,0,25833333.0,1,1
application,Web Based Application,4,4,incident,0,1841944444.0,1,1
subapplication,Web Based Application,4,4,incident,3,2472833333.0,1,1
computer,Banking Device,4,4,incident,2,4059166667.0,1,1
hardware,DataCenterEquipment,3,3,incident,0,280555556.0,2,1
application,Server Based Application,4,4,incident,0,1454166667.0,1,1
application,Desktop Application,5,5,request for information,0,780833333.0,1,1
application,Server Based Application,5,5,request for information,0,47222222.0,1,1
application,Server Based Application,4,4,incident,0,6318611111.0,1,1
subapplication,Web Based Application,4,4,incident,0,594722222.0,1,1
subapplication,Web Based Application,4,4,incident,0,433333333.0,1,1
application,Server Based Application,4,4,incident,0,1156111111.0,1,1
application,Server Based Application,3,3,incident,0,49444444.0,1,1
application,Desktop Application,4,4,incident,0,774722222.0,1,1
software,Database Software,3,3,incident,0,102777778.0,1,1
application,Server Based Application,5,5,request for information,0,9132222222.0,1,1
application,Desktop Application,5,5,incident,1,224444444.0,1,1
applicationcomponent,Application Server,4,4,incident,3,3118055556.0,1,1
application,Server Based Application,4,4,incident,2,1751972222.0,1,1
subapplication,Web Based Application,5,5,incident,5,1554527778.0,1,1
subapplication,Web Based Application,5,5,incident,1,3432972222.0,1,1
subapplication,Web Based Application,5,5,incident,1,3430694444.0,1,1
subapplication,Web Based Application,5,5,incident,2,483975.0,2,1
application,Web Based Application,4,4,incident,0,1124083333.0,1,1
subapplication,Web Based Application,5,5,incident,1,3422972222.0,1,1
application,Web Based Application,4,4,incident,0,1017222222.0,1,1
subapplication,Web Based Application,5,5,incident,1,4753333333.0,1,1
subapplication,Web Based Application,4,4,incident,0,342222222.0,1,1
application,Server Based Application,4,4,incident,0,5555555556.0,1,1
application,Desktop Application,NS,3,incident,0,6912777778.0,1,1
subapplication,Server Based Application,5,5,request for information,1,955277778.0,1,1
subapplication,Web Based Application,4,4,incident,2,6795833333.0,2,1
subapplication,Web Based Application,4,4,incident,0,3990555556.0,1,1
software,System Software,3,3,incident,0,154166667.0,1,1
computer,Desktop,3,3,incident,2,3301944444.0,1,1
application,Desktop Application,4,4,incident,0,1883611111.0,1,1
application,Server Based Application,5,5,request for information,2,8790833333.0,1,1
application,Server Based Application,5,5,request for information,0,300555556.0,1,1
computer,Desktop,5,5,incident,4,4708111111.0,1,1
application,Web Based Application,5,5,incident,0,2433583333.0,1,1
application,Web Based Application,4,4,incident,0,1210333333.0,1,1
application,Server Based Application,5,5,request for information,0,2161563889.0,1,1
application,Web Based Application,5,5,incident,4,1564219444.0,1,1
application,Server Based Application,3,3,incident,1,28055556.0,1,1
application,Desktop Application,5,5,request for information,0,1957222222.0,1,1
application,Server Based Application,5,5,request for information,0,1261305556.0,1,1
application,Server Based Application,3,3,incident,6,1094502778.0,1,1
application,SAP,5,5,request for information,0,1289916667.0,1,1
application,Server Based Application,5,5,request for information,0,1314055556.0,1,1
application,Desktop Application,3,3,incident,5,4943611111.0,2,1
application,Desktop Application,4,4,incident,0,8175277778.0,1,1
application,Server Based Application,4,4,incident,0,6130555556.0,1,1
application,Web Based Application,5,5,incident,0,3145555556.0,1,1
application,Citrix,4,4,incident,2,1275.0,1,1
computer,Laptop,5,5,incident,1,1684416667.0,1,1
application,Server Based Application,4,4,incident,0,861944444.0,1,1
application,Citrix,4,4,incident,0,1875833333.0,1,1
application,Web Based Application,5,5,incident,0,2712777778.0,1,1
application,Web Based Application,5,5,incident,0,167.0,1,1
subapplication,Web Based Application,5,5,incident,2,15833333.0,2,1
application,Server Based Application,5,5,request for information,0,2210916667.0,1,1
application,Citrix,4,4,incident,2,1428722222.0,1,1
computer,Laptop,5,5,incident,3,3219055556.0,2,1
application,Web Based Application,5,5,request for information,0,3314888889.0,1,1
application,Desktop Application,4,4,incident,0,3657777778.0,1,1
subapplication,Server Based Application,5,5,request for information,1,4014166667.0,1,1
application,Web Based Application,5,5,incident,6,1313711111.0,1,1
application,Web Based Application,5,5,incident,1,9158611111.0,1,1
application,Desktop Application,2,2,incident,0,344722222.0,1,0
application,Server Based Application,4,4,incident,0,1141944444.0,1,1
application,Desktop Application,4,4,incident,1,7347777778.0,1,1
application,Desktop Application,4,4,incident,0,2110555556.0,1,1
application,Server Based Application,4,4,incident,3,50315.0,2,1
application,Server Based Application,NS,3,incident,0,34444444.0,1,1
subapplication,Web Based Application,4,4,incident,0,10185.0,1,1
application,Web Based Application,5,5,incident,0,3073166667.0,1,1
application,Server Based Application,5,5,incident,1,2043055556.0,1,1
subapplication,Web Based Application,5,5,request for information,1,2703888889.0,1,1
application,Server Based Application,5,5,request for information,2,1066083333.0,1,1
application,Server Based Application,5,5,request for information,3,2421072222.0,2,1
application,Server Based Application,4,5,request for information,0,4001111111.0,1,1
application,Standard Application,3,3,incident,2,5333333333.0,1,1
application,Server Based Application,3,4,incident,1,1266111111.0,1,1
application,Desktop Application,5,5,incident,0,3059722222.0,1,1
subapplication,Web Based Application,4,4,incident,0,169722222.0,1,1
computer,Windows Server,5,5,request for information,0,192777778.0,1,1
software,System Software,4,4,incident,1,1777777778.0,1,1
application,Server Based Application,5,5,request for information,0,25833333.0,1,1
application,Web Based Application,4,4,incident,2,4836388889.0,1,1
application,Web Based Application,4,4,incident,1,2685833333.0,1,1
application,Server Based Application,3,3,incident,2,1147083333.0,1,1
application,Desktop Application,3,3,incident,0,2061388889.0,1,1
application,Web Based Application,4,4,incident,2,247475.0,1,1
application,Server Based Application,5,5,request for information,0,5101944444.0,1,1
software,Database Software,3,3,incident,3,9398333333.0,1,1
application,Server Based Application,5,5,request for information,0,1850944444.0,1,1
application,Desktop Application,4,4,incident,3,23333333.0,1,1
application,Server Based Application,4,4,incident,3,2040611111.0,1,1
application,SAP,4,4,incident,6,65125.0,1,1
application,Web Based Application,5,5,incident,0,495833333.0,1,1
application,Server Based Application,4,4,incident,0,1797138889.0,1,1
application,Server Based Application,5,5,request for information,0,1238611111.0,1,1
subapplication,Server Based Application,4,4,incident,0,1073055556.0,1,1
subapplication,Server Based Application,5,5,request for information,0,5459444444.0,1,1
application,Desktop Application,5,5,request for information,0,3955277778.0,1,1
application,Server Based Application,5,5,incident,0,3838611111.0,1,1
application,Web Based Application,5,5,incident,0,1194416667.0,1,1
application,Server Based Application,5,5,request for information,0,1213888889.0,1,1
subapplication,Web Based Application,4,4,incident,6,1625955556.0,1,1
application,Server Based Application,5,5,request for information,3,1880083333.0,2,1
application,SAP,5,5,request for information,2,338055556.0,1,1
subapplication,Web Based Application,2,2,incident,2,2451944444.0,1,0
application,Server Based Application,5,5,request for information,3,1624138889.0,1,1
application,Server Based Application,5,5,request for information,14,1275644444.0,3,1
application,SAP,5,5,request for information,2,1971444444.0,1,1
application,Server Based Application,5,5,request for information,0,12775.0,1,1
application,Web Based Application,2,2,incident,1,7573305556.0,1,0
application,Server Based Application,4,4,incident,4,5001944444.0,1,1
application,Web Based Application,5,5,incident,0,390175.0,1,1
subapplication,Server Based Application,5,5,request for information,1,7975.0,1,1
application,Desktop Application,2,2,incident,0,26944444.0,1,0
application,Web Based Application,4,4,incident,0,7704722222.0,1,1
application,Web Based Application,4,5,incident,0,1593333333.0,1,1
storage,SAN,5,5,request for information,0,7521077778.0,1,1
application,Exchange,5,5,request for information,0,1534527778.0,1,1
application,Web Based Application,4,4,incident,0,205833333.0,1,1
application,Server Based Application,5,5,request for information,4,2386027778.0,1,1
application,Server Based Application,5,5,request for information,0,1117666667.0,1,1
application,Web Based Application,4,4,incident,0,11.0,1,1
application,Server Based Application,5,5,request for information,8,2684594444.0,1,1
application,Server Based Application,4,4,incident,0,973055556.0,1,1
application,Server Based Application,4,4,incident,0,87.0,1,1
application,Desktop Application,4,4,incident,0,225.0,1,1
computer,Laptop,5,5,incident,0,2271166667.0,1,1
application,Server Based Application,3,3,incident,0,65.0,1,1
application,Server Based Application,4,4,incident,0,200555556.0,1,1
application,Desktop Application,4,4,incident,0,24722222.0,1,1
subapplication,Web Based Application,4,4,incident,0,1007222222.0,1,1
application,Server Based Application,3,3,incident,0,40277778.0,1,1
application,Server Based Application,4,4,incident,0,266666667.0,1,1
application,Server Based Application,4,4,incident,2,4871666667.0,1,1
application,Server Based Application,4,4,incident,0,975.0,1,1
subapplication,Web Based Application,4,4,incident,0,96666667.0,1,1
computer,Laptop,5,5,incident,1,6244027778.0,1,1
subapplication,Web Based Application,4,4,incident,0,398611111.0,1,1
application,Server Based Application,4,4,incident,1,1278694444.0,1,1
subapplication,Web Based Application,4,4,incident,1,3269444444.0,1,1
application,Server Based Application,NS,3,incident,0,1196944444.0,1,1
application,Server Based Application,4,4,incident,0,8158611111.0,1,1
application,Web Based Application,4,4,incident,2,7169444444.0,1,1
application,Web Based Application,5,5,request for information,0,1885277778.0,1,1
subapplication,Web Based Application,4,4,incident,3,1587833333.0,1,1
application,Server Based Application,5,5,request for information,4,21535.0,2,1
application,Client Based Application,4,4,incident,1,1044633333.0,1,1
application,Web Based Application,5,5,incident,5,15509.0,1,1
application,Web Based Application,4,4,incident,0,3803055556.0,1,1
application,Server Based Application,5,5,request for information,0,2155555556.0,2,1
application,Web Based Application,5,5,incident,0,3221666667.0,1,1
subapplication,Web Based Application,4,4,incident,0,3068333333.0,1,1
application,Web Based Application,4,5,incident,2,1567111111.0,1,1
application,Desktop Application,4,4,incident,0,2178888889.0,1,1
subapplication,Server Based Application,5,5,request for information,1,5538888889.0,2,1
subapplication,Server Based Application,5,5,request for information,1,0.0,1,1
subapplication,Web Based Application,5,5,incident,0,1146916667.0,1,1
application,Server Based Application,3,3,incident,0,283055556.0,1,1
application,Client Based Application,5,5,incident,0,6374166667.0,1,1
application,Client Based Application,5,5,incident,0,6345555556.0,1,1
application,Web Based Application,5,5,incident,0,5515777778.0,1,1
computer,Desktop,5,5,incident,0,219075.0,1,1
application,Server Based Application,5,5,request for information,2,547.0,1,1
displaydevice,Monitor,4,4,incident,0,2420333333.0,1,1
application,Web Based Application,3,3,incident,0,3095277778.0,1,1
computer,Banking Device,2,2,incident,1,2111361111.0,1,0
application,Web Based Application,4,4,incident,3,2976388889.0,1,1
subapplication,Web Based Application,4,4,incident,10,1883472222.0,1,1
subapplication,Web Based Application,3,3,incident,2,1587444444.0,1,1
application,Server Based Application,4,4,request for information,2,3291055556.0,1,1
application,Web Based Application,4,4,incident,1,43333333.0,1,1
application,Server Based Application,4,4,incident,0,2284166667.0,1,1
subapplication,Web Based Application,4,4,incident,3,1559055556.0,1,1
application,Server Based Application,4,4,request for information,0,3899583333.0,1,1
application,Server Based Application,4,4,incident,0,1473083333.0,1,1
application,Web Based Application,4,4,incident,1,6501944444.0,1,1
application,Web Based Application,4,4,incident,0,5407777778.0,1,1
application,Server Based Application,3,3,incident,0,4810555556.0,1,1
application,Web Based Application,4,4,incident,2,3786222222.0,1,1
software,System Software,3,3,incident,0,421666667.0,1,1
application,Standard Application,3,3,incident,0,3775.0,1,1
application,Server Based Application,5,5,request for information,0,1625305556.0,1,1
application,Server Based Application,4,4,incident,2,1636944444.0,1,1
application,Web Based Application,4,4,incident,5,1882638889.0,1,1
application,Server Based Application,4,4,incident,0,1598611111.0,1,1
application,Server Based Application,5,5,request for information,2,1918055556.0,1,1
application,Server Based Application,5,5,request for information,2,1732.0,1,1
application,Server Based Application,4,4,incident,0,14.0,1,1
computer,Laptop,5,5,incident,3,2261277778.0,1,1
application,Server Based Application,4,4,incident,0,1370833333.0,1,1
application,Server Based Application,4,4,incident,2,1665972222.0,3,1
application,Server Based Application,4,4,incident,0,608888889.0,1,1
application,Web Based Application,4,4,incident,0,1100833333.0,1,1
computer,Laptop,5,5,incident,3,1674083333.0,1,1
application,Server Based Application,4,4,incident,0,1989916667.0,1,1
subapplication,Web Based Application,4,4,incident,0,156111111.0,1,1
application,Desktop Application,5,5,request for information,0,866388889.0,1,1
subapplication,Web Based Application,4,4,incident,0,345277778.0,1,1
application,Web Based Application,5,5,incident,0,3771888889.0,1,1
application,Server Based Application,5,5,request for information,0,1409388889.0,2,1
application,Web Based Application,4,4,incident,0,326388889.0,1,1
application,Web Based Application,4,4,incident,0,341666667.0,1,1
application,Web Based Application,4,4,incident,0,3767777778.0,1,1
application,Server Based Application,5,5,request for information,0,690555556.0,1,1
application,Server Based Application,4,4,incident,0,2799444444.0,1,1
application,Standard Application,NS,3,incident,1,1314722222.0,1,1
application,Server Based Application,4,4,incident,0,2733611111.0,1,1
application,Server Based Application,5,5,request for information,0,1039638889.0,1,1
application,Web Based Application,4,4,incident,0,2413333333.0,1,1
subapplication,Web Based Application,4,4,incident,2,1062194444.0,1,1
application,Server Based Application,5,5,request for information,0,1386777778.0,1,1
application,Desktop Application,5,5,incident,0,43055556.0,1,1
application,Server Based Application,5,5,request for information,0,2873333333.0,1,1
application,Desktop Application,4,4,incident,0,7776388889.0,1,1
application,Server Based Application,3,3,incident,0,669444444.0,1,1
application,Citrix,4,4,incident,1,1529444444.0,1,1
application,Server Based Application,4,4,incident,0,8039166667.0,1,1
computer,Desktop,5,5,incident,0,2149861111.0,1,1
computer,Laptop,5,5,incident,2,3467888889.0,3,1
application,Server Based Application,3,3,incident,6,6692777778.0,1,1
subapplication,Server Based Application,5,5,request for information,0,5265277778.0,1,1
application,Web Based Application,5,5,incident,0,2033805556.0,2,1
application,Server Based Application,4,4,incident,1,3845833333.0,1,1
application,Server Based Application,4,4,incident,5,9132666667.0,1,1
application,Server Based Application,5,5,request for information,3,1079475.0,1,1
application,Client Based Application,4,4,incident,0,2859166667.0,1,1
application,Desktop Application,5,5,request for information,0,125.0,1,1
subapplication,Citrix,4,4,incident,0,298055556.0,1,1
application,Server Based Application,4,4,incident,0,2896666667.0,1,1
application,Server Based Application,5,5,incident,0,122475.0,1,1
subapplication,Web Based Application,5,5,incident,9,6669972222.0,1,1
subapplication,Web Based Application,4,4,incident,0,506666667.0,1,1
application,Desktop Application,3,3,incident,0,9320833333.0,1,1
application,Desktop Application,5,5,incident,0,3460361111.0,1,1
application,Desktop Application,4,4,incident,3,1233416667.0,1,1
subapplication,Web Based Application,5,5,incident,0,1331944444.0,1,1
application,Web Based Application,4,4,incident,3,1364638889.0,2,1
subapplication,Server Based Application,5,5,request for information,1,689722222.0,1,1
application,Server Based Application,4,4,incident,2,1826194444.0,1,1
application,Server Based Application,NS,3,incident,0,6875.0,1,1
application,Web Based Application,3,3,incident,0,1431111111.0,1,1
application,Web Based Application,5,5,incident,3,1210611111.0,1,1
application,Desktop Application,4,4,incident,0,2222222.0,1,1
application,Server Based Application,3,3,incident,0,3969722222.0,1,1
subapplication,Web Based Application,4,4,incident,0,1874166667.0,1,1
application,Server Based Application,5,5,request for information,2,0.0,1,1
computer,Laptop,5,5,incident,5,1837891667.0,1,1
application,Desktop Application,3,3,incident,0,4667777778.0,1,1
application,Standard Application,3,3,incident,0,9673055556.0,1,1
application,Server Based Application,5,5,request for information,0,1141916667.0,1,1
subapplication,Citrix,3,3,incident,0,6724722222.0,1,1
application,Server Based Application,3,3,incident,0,350555556.0,1,1
application,Server Based Application,3,3,incident,0,1275833333.0,1,1
application,Server Based Application,5,5,request for information,0,375555556.0,1,1
application,Server Based Application,5,5,request for information,3,1092.0,1,1
application,Citrix,4,4,incident,0,1079444444.0,1,1
application,Server Based Application,5,5,request for information,6,1173952778.0,2,1
application,Server Based Application,5,5,request for information,2,2746388889.0,1,1
application,Server Based Application,4,4,incident,1,6111111.0,1,1
application,Server Based Application,4,4,incident,1,49825.0,1,1
application,Desktop Application,4,4,incident,0,743333333.0,1,1
application,SAP,5,5,request for information,2,1480833333.0,1,1
computer,Laptop,5,5,incident,6,4125055556.0,1,1
application,SAP,5,5,request for information,2,4004944444.0,1,1
application,Web Based Application,4,4,incident,1,1148305556.0,1,1
application,Server Based Application,4,4,incident,0,404444444.0,1,1
application,Web Based Application,5,5,incident,0,2899722222.0,1,1
application,Server Based Application,5,5,request for information,0,1073611111.0,1,1
application,Server Based Application,5,5,request for information,0,4968611111.0,1,1
application,Server Based Application,4,4,incident,0,2306666667.0,1,1
application,Web Based Application,4,4,incident,1,1840694444.0,1,1
computer,Desktop,5,5,incident,3,3430333333.0,1,1
application,Server Based Application,4,4,incident,0,1665277778.0,1,1
application,Server Based Application,4,4,incident,0,1944166667.0,1,1
application,Server Based Application,4,4,incident,0,1674722222.0,1,1
application,Standard Application,NS,3,incident,0,231388889.0,1,1
application,Server Based Application,4,4,incident,0,1167777778.0,1,1
application,Server Based Application,NS,3,incident,0,1631666667.0,1,1
application,Web Based Application,NS,3,incident,0,1699722222.0,1,1
application,Server Based Application,NS,3,incident,0,440833333.0,1,1
application,Server Based Application,4,4,incident,2,1806.0,1,1
subapplication,Web Based Application,5,5,incident,0,1910277778.0,1,1
displaydevice,Monitor,4,4,incident,1,7375.0,1,1
application,Web Based Application,5,5,incident,0,3002416667.0,1,1
application,Server Based Application,4,4,incident,1,1512111111.0,1,1
computer,Laptop,5,5,incident,0,94525.0,1,1
subapplication,Web Based Application,4,4,incident,0,3911111111.0,1,1
computer,Laptop,5,5,incident,0,4806666667.0,1,1
application,Server Based Application,4,4,incident,0,3274444444.0,1,1
application,Server Based Application,4,4,incident,0,1038055556.0,1,1
application,Web Based Application,5,5,incident,1,8061666667.0,1,1
subapplication,Web Based Application,4,4,incident,0,913333333.0,1,1
computer,Desktop,5,5,incident,2,4500305556.0,1,1
application,Exchange,5,5,request for information,2,1089933333.0,1,1
computer,Laptop,5,5,incident,2,1960277778.0,1,1
subapplication,Web Based Application,4,4,incident,0,913055556.0,1,1
subapplication,Web Based Application,4,4,incident,4,3154361111.0,1,1
application,Client Based Application,4,4,incident,1,3253694444.0,2,1
application,Server Based Application,4,4,incident,1,1976527778.0,1,1
application,Server Based Application,4,4,incident,0,3636111111.0,1,1
application,Desktop Application,4,4,incident,0,18333333.0,1,1
application,Server Based Application,4,4,incident,2,130625.0,1,1
application,Server Based Application,3,3,incident,0,611111111.0,1,1
application,Web Based Application,5,5,incident,1,8434444444.0,1,1
application,Server Based Application,5,5,request for information,2,5127277778.0,2,1
subapplication,Server Based Application,5,5,request for information,1,3812222222.0,1,1
application,Web Based Application,4,5,incident,0,2057777778.0,1,1
application,Server Based Application,5,5,request for information,0,70125.0,1,1
application,Web Based Application,4,4,incident,0,1822777778.0,1,1
application,Server Based Application,5,5,request for information,0,151.0,1,1
application,Server Based Application,4,4,incident,0,715555556.0,1,1
subapplication,Web Based Application,4,4,incident,10,1061207222.0,1,1
subapplication,Web Based Application,4,4,incident,0,628888889.0,1,1
application,Client Based Application,4,4,incident,0,2059444444.0,1,1
application,Server Based Application,3,3,incident,0,1232777778.0,1,1
computer,Desktop,5,5,incident,1,2576555556.0,1,1
application,Desktop Application,4,4,incident,0,2157527778.0,1,1
application,SAP,5,5,request for information,2,3977083333.0,1,1
subapplication,Web Based Application,4,4,incident,0,357777778.0,1,1
subapplication,Server Based Application,5,5,request for information,1,4013611111.0,1,1
application,Server Based Application,4,4,incident,1,10277778.0,1,1
application,Server Based Application,5,5,request for information,0,1137055556.0,1,1
subapplication,Web Based Application,4,4,incident,0,4790555556.0,2,1
application,Server Based Application,5,5,request for information,0,866111111.0,1,1
application,Server Based Application,5,5,request for information,2,9559444444.0,1,1
computer,Laptop,4,4,incident,0,4640277778.0,1,1
application,Desktop Application,4,4,incident,0,1195277778.0,1,1
computer,Banking Device,NS,3,incident,1,6423888889.0,1,1
application,Server Based Application,4,4,incident,2,1505833333.0,2,1
application,Server Based Application,4,4,incident,1,1789166667.0,2,1
application,Server Based Application,3,3,incident,0,454.0,1,1
application,Web Based Application,4,4,incident,0,1564166667.0,1,1
application,Server Based Application,4,4,incident,0,185.0,1,1
application,Server Based Application,5,5,incident,0,69444444.0,1,1
application,Client Based Application,4,4,incident,8,3918638889.0,1,1
application,Web Based Application,4,4,incident,4,1062153889.0,1,1
subapplication,Server Based Application,5,5,request for information,1,4859722222.0,1,1
computer,Omgeving,4,4,incident,0,6707222222.0,1,1
computer,Windows Server,4,4,incident,0,4233055556.0,1,1
subapplication,Web Based Application,5,5,incident,3,1620083333.0,3,1
application,Server Based Application,3,3,incident,0,40277778.0,1,1
subapplication,Server Based Application,5,5,request for information,1,1141388889.0,1,1
application,Web Based Application,4,4,incident,3,1124066111.0,1,1
application,Server Based Application,4,4,incident,0,2087777778.0,1,1
application,Web Based Application,4,4,incident,0,3200555556.0,1,1
application,Server Based Application,NS,3,incident,0,52777778.0,1,1
officeelectronics,Scanner,NS,3,incident,0,25833333.0,1,1
subapplication,Web Based Application,4,4,incident,3,5516.0,1,1
application,Server Based Application,4,4,incident,0,84166667.0,1,1
application,Web Based Application,4,4,incident,1,6866666667.0,1,1
application,Server Based Application,4,4,incident,2,1820305556.0,2,1
application,Server Based Application,4,4,incident,0,1195555556.0,1,1
application,Server Based Application,4,4,incident,0,6352222222.0,1,1
subapplication,Web Based Application,5,5,incident,2,23075.0,1,1
application,Server Based Application,3,3,incident,0,53333333.0,1,1
subapplication,Server Based Application,4,4,incident,3,157475.0,1,1
computer,Laptop,5,5,incident,2,8632055556.0,1,1
application,Web Based Application,5,5,request for information,0,1085555556.0,1,1
application,Web Based Application,5,5,request for information,0,1037111111.0,1,1
subapplication,Web Based Application,4,4,incident,0,443055556.0,1,1
application,SAP,5,5,request for information,0,101025.0,1,1
computer,Laptop,5,5,incident,1,7706055556.0,1,1
application,Server Based Application,4,4,incident,1,1061055556.0,1,1
subapplication,Web Based Application,4,4,incident,1,3449444444.0,1,1
application,Web Based Application,5,5,request for information,3,1007241667.0,2,1
application,SAP,5,5,request for information,0,9971111111.0,1,1
application,Server Based Application,4,4,incident,0,2979166667.0,1,1
application,SAP,5,5,request for information,0,1165194444.0,1,1
subapplication,Web Based Application,4,4,incident,1,1193805556.0,1,1
application,Server Based Application,5,5,request for information,6,926325.0,3,1
application,SAP,5,5,request for information,0,984.0,1,1
application,Server Based Application,4,4,incident,0,1025.0,1,1
application,Desktop Application,4,4,incident,1,121175.0,1,1
application,Web Based Application,5,5,request for information,3,1780222222.0,1,1
application,Server Based Application,3,3,incident,0,10277778.0,1,1
application,Web Based Application,4,4,incident,2,8120166667.0,1,1
application,Server Based Application,5,5,request for information,0,1252138889.0,1,1
application,SAP,5,5,request for information,2,5309472222.0,1,1
application,Server Based Application,5,5,request for information,2,3754388889.0,1,1
application,Server Based Application,5,5,request for information,0,1009555556.0,1,1
application,Server Based Application,5,5,request for information,0,3080833333.0,1,1
application,Server Based Application,5,5,request for information,0,3289388889.0,1,1
application,Server Based Application,4,4,incident,0,150725.0,1,1
application,Server Based Application,5,5,request for information,0,1298916667.0,1,1
application,Server Based Application,5,5,incident,8,4885.0,1,1
application,Server Based Application,4,4,incident,1,9227222222.0,1,1
application,Desktop Application,4,4,incident,0,1268722222.0,1,1
subapplication,Server Based Application,5,5,request for information,2,771.0,1,1
application,Desktop Application,5,5,request for information,0,4187527778.0,1,1
subapplication,Server Based Application,5,5,request for information,1,3031944444.0,1,1
application,Server Based Application,4,4,incident,0,652777778.0,1,1
application,Web Based Application,5,5,request for information,6,1032172222.0,1,1
computer,Laptop,5,5,incident,0,7777778.0,1,1
application,Server Based Application,5,5,request for information,0,14905.0,1,1
application,Server Based Application,4,4,incident,0,761111111.0,1,1
application,Server Based Application,4,4,incident,0,914722222.0,1,1
subapplication,Web Based Application,4,4,incident,0,4437222222.0,1,1
application,Desktop Application,4,4,incident,2,1411583333.0,1,1
application,Server Based Application,5,5,incident,0,7790277778.0,1,1
application,Web Based Application,5,5,incident,4,7556694444.0,2,1
application,Exchange,4,4,request for information,0,5246666667.0,1,1
application,Desktop Application,5,5,incident,2,2844138889.0,1,1
application,Server Based Application,4,4,incident,0,3550277778.0,1,1
computer,Laptop,5,5,incident,1,1903888889.0,1,1
application,Server Based Application,3,4,incident,0,1726944444.0,1,1
application,Desktop Application,4,4,incident,1,4275555556.0,1,1
application,Server Based Application,3,4,incident,1,1014972222.0,1,1
subapplication,Web Based Application,4,4,incident,1,6111111111.0,2,1
application,Server Based Application,4,4,incident,0,1736277778.0,2,1
application,Server Based Application,3,3,incident,0,228888889.0,1,1
application,Server Based Application,5,5,request for information,0,1312222222.0,1,1
application,Desktop Application,4,4,incident,2,5095833333.0,1,1
storage,Controller,NS,3,incident,0,165277778.0,1,1
computer,Laptop,5,5,incident,3,2890222222.0,1,1
application,Server Based Application,3,3,incident,2,1075.0,1,1
application,Desktop Application,4,4,incident,0,6228611111.0,1,1
subapplication,Citrix,4,4,incident,0,1963611111.0,1,1
subapplication,Server Based Application,5,5,request for information,2,7868333333.0,1,1
application,Server Based Application,4,4,incident,0,121825.0,1,1
computer,Laptop,5,5,incident,3,1759916667.0,1,1
application,Server Based Application,3,3,incident,0,37777778.0,1,1
application,Server Based Application,4,4,request for information,1,5078027778.0,1,1
computer,Banking Device,2,2,incident,1,1750694444.0,1,0
subapplication,Server Based Application,5,5,request for information,2,9246666667.0,1,1
application,Server Based Application,NS,3,incident,2,937222222.0,1,1
application,Web Based Application,5,5,incident,2,1242444444.0,1,1
application,Web Based Application,5,5,request for information,0,3405277778.0,2,1
